text,lda,yake,keybert
"Datei:Anthonie van Leeuwenhoek (1632-1723). Natuurkundige te Delft Rijksmuseum SK-A-957.jpeg mini|Antoni van Leeuwenhoek im Alter von etwa 54 Jahren, Gemälde von Jan Verkolje . Antoni van Leeuwenhoek [ IPA ˈɑntoːni vɑn ˈleːuə(n)ˌɦuk ] ( Audio Antonie_van_Leeuwenhoek.ogg Aussprache ) (* 24. Oktober 1632 in Delft , Republik der Sieben Vereinigten Provinzen ; † 26. August 1723 ebenda) war ein Niederlande niederländischer Naturforscher und der bedeutendste Lichtmikroskop Mikroskopiker des 17. und beginnenden 18. Jahrhunderts. Er entdeckte die Mikroorganismen , darunter Bakterien , Protozoen und andere Einzeller , und wird deshalb als „Vater der Protozoologie und Bakteriologie “ bezeichnet. ref Dobell, Antony van Leeuwenhoek and his „little animals“, Nachdruck von 1960, S. 362. ref Er beschrieb die Entdeckung der Spermatozoen und untersuchte sie bei zahlreichen Tierarten. Seine Beobachtungen machten ihn zum Gegner der Spontanzeugung . Parallel zu anderen Forschern seiner Zeit entdeckte er r","['Sub', 'Tier', 'Gattung']","['Name', 'Autor', 'Literatur']","['leeuwenhoekmicroscoop', 'van_leeuwenhoek', 'antonie_van_leeuwenhoek']"
"Datei:Absinthe-glass.jpg mini|hochkant|Reservoirglas mit natürlich gefärbtem Absinth und Absinthlöffel Absinth , auch Absinthe genannt, gehört zu den Wermutspirituosen ref https://www.bfr.bund.de/de/a-z_index/absinth-5166.html Eintrag Absinth beim bfr.bund.de ref und ist ein alkoholisches Getränk , das traditionell aus Wermutkraut , Anis , Fenchel , einer je nach Rezeptur unterschiedlichen Reihe weiterer Küchenkraut Kräuter sowie Ethylalkohol landwirtschaftlichen Ursprungs Alkohol hergestellt wird. Die meisten Absinthmarken sind grün, daher wird Absinth auch „Die grüne Fee“ ( frS La fée verte ) genannt. Der Alkoholgehalt liegt üblicherweise zwischen 45 und 89 Volumenprozent und ist demnach dem oberen Bereich der Spirituosen zuzuordnen. Aufgrund der Verwendung bitter schmeckender Kräuter, insbesondere von Wermut, gilt Absinth als Bitter (Spirituose) Bitterspirituose , obwohl er nicht unbedingt bitter schmeckt. Absinth wurde ursprünglich im 18. Jahrhundert im Val de Travers im heutigen S","['Museum', 'Paris', 'Kunst']","['absinth', 'absinthe', 'verbieten']","['absinthsubstituts', 'absinths', 'absinthbrennerei']"
"Infobox Chemisches Element Name Berkelium Symbol Bk Ordnungszahl 97 Serie Ac Gruppe Ac Periode 7 Block f Hauptquelle ref Die Werte der atomaren und physikalischen Eigenschaften (Infobox) sind, wenn nicht anders angegeben, entnommen aus: Literatur Autor David E. Hobart and Joseph R. Peterson Hrsg Lester R. Morss, Norman M. Edelstein, Jean Fuger Titel Berkelium Verlag Springer Ort Dordrecht Datum 2006 ISBN 1-4020-3555-1 Seiten 1444–1498 Online http://radchem.nevada.edu/classes/rdch710/files/Berkelium.pdf Abruf 2019-03-30 DOI 10.1007/1-4020-3598-5_10 ref Aussehen silberweiß CAS CASRN 7440-40-6 EG-Nummer ECHA-ID Atommasse 247 Atomradius 170 AtomradiusBerechnet KovalenterRadius VanDerWaalsRadius Elektronenkonfiguration Radon Rn 5 F-Orbital f sup 9 sup 7 S-Orbital s sup 2 sup Austrittsarbeit Ionisierungsenergie_1 ZahlExp 6,19785 suffix (25) post Elektronenvolt eV ref name NIST-ASD-berkelium NIST-ASD berkelium Abruf 2020-06-13 ref ≈ ZahlExp 598 post Joule kJ / mol ref name Webelements-berkeli","['Sub', 'Tier', 'Gattung']","['Sub', 'Name', 'Element']","['atoms_abruf', 'berkeliummetall', 'berkeliumisotop']"
"Dieser Artikel befasst sich mit dem Metall Blei. Weitere Bedeutungen siehe Blei (Begriffsklärung) . Infobox Chemisches Element Name Blei Symbol Pb Ordnungszahl 82 Serie Me Gruppe 14 Periode 6 Block p Aussehen Bläulich weiß CAS CASRN 7439-92-1 EG-Nummer 231-100-4 ECHA-ID 100.028.273 Massenanteil 18 ppm (35. Rang) ref name Harry H. Binder Harry H. Binder: Lexikon der chemischen Elemente. S. Hirzel Verlag, Stuttgart 1999, ISBN 3-7776-0736-3. ref Hauptquelle ref Die Werte für die Eigenschaften (Infobox) sind, wenn nicht anders angegeben, aus http://www.webelements.com/lead/ www.webelements.com (Blei) entnommen. ref Atommasse 207,2(1) ref name CIAAW http://www.ciaaw.org/atomic-weights.htm CIAAW, Standard Atomic Weights Revised 2013 . ref Atomradius 180 AtomradiusBerechnet 154 KovalenterRadius 146 VanDerWaalsRadius 202 Elektronenkonfiguration Xenon Xe 4 F-Orbital f sup 14 sup 5 D-Orbital d sup 10 sup 6 S-Orbital s sup 2 sup 6 P-Orbital p sup 2 sup Austrittsarbeit Ionisierungsenergie_1 ZahlEx","['Sub', 'Tier', 'Gattung']","['Sub', 'blei', 'Name']","['atoms_abruf', 'chemisch_element', 'metals']"
"Dieser Artikel befasst sich mit der Stadt in Nordrhein-Westfalen. Zu weiteren Bedeutungen siehe Bielefeld (Begriffsklärung) . Infobox Gemeinde in Deutschland Art Stadt Wappen DEU Bielefeld COA.svg Breitengrad 52.02182 Längengrad 8.53509 Lageplan North rhine w BI.svg Lageplanbeschreibung Lage von Bielefeld in Nordrhein-Westfalen Bundesland Nordrhein-Westfalen Regierungsbezirk Detmold Kreis Landschaftsverband Landschaftsverband Westfalen-Lippe Westfalen-Lippe Höhe 118 PLZ 33602 – 33739 Vorwahl 0521, 05202, 05203, 05205, 05206, 05208, 05209 Gemeindeschlüssel 05711000 NUTS DEA41 LOCODE DE BFE Gliederung 10 Stadtbezirk e Adresse Niederwall 23 br 33602 Bielefeld Website https://www.bielefeld.de/ www.bielefeld.de Bürgermeister Pit Clausen Bürgermeistertitel Oberbürgermeister Partei Sozialdemokratische Partei Deutschlands SPD Datei:Sparrenburg innovative sights.JPG mini| Sparrenburg und Blick auf die Innenstadt Datei:Bielefeld Niederwall Wasserspiel über Stadtbahntunnel.jpg mini|Niederwall mit","['Bahnhof', 'Meter', 'Linie']","['Stadt', 'bielefeld', 'Archiv']","['stadt_bielefeld', 'ratswahl_nrw_gemeinde_stadt_bielefeld', 'buergermeisterstichwahl_nrw_218_gemeinde_bielefeld']"
"Begriffsklärungshinweis Infobox Gemeinde in Deutschland Art Stadt Wappen DEU Bonn COA.svg Breitengrad 50/44/02.37/N Längengrad 7/5/59.33/E Lageplan North rhine w BN.svg Lageplanbeschreibung Lage der Bundesstadt Bonn in Nordrhein-Westfalen und im Regierungsbezirk Köln Bundesland Nordrhein-Westfalen Regierungsbezirk Köln Höhe 60 PLZ nowrap 53111–53129 , nowrap 53173–53179 , 53225, 53227, 53229 Vorwahl 0228 Gemeindeschlüssel 05314000 NUTS DEA22 LOCODE DE BON Gliederung 4 Stadtbezirk e Adresse Berliner Platz 2 br 53111 Bonn Website https://www.bonn.de/ www.bonn.de Bürgermeister Katja Dörner Bürgermeistertitel Liste der Oberbürgermeister und Oberstadtdirektoren von Bonn Oberbürgermeisterin Partei Grüne Datei:Logo Bonn 2009.svg mini|hochkant|Offizielles Logo der Bundesstadt Bonn Datei:DBP 1989 1402 2000 Jahre Bonn.jpg mini|Sonderbriefmarke Briefmarken-Jahrgang 1989 der Deutschen Bundespost#Sondermarken aus Anlass des Stadtjubiläums Datei:Bundesarchiv B 145 Bild-057841, Bonn, Palais Schaumbur","['Wilhelm', 'Dresden', 'Friedrich']","['Bonn', 'Stadt', 'Archiv']","['bundesstadt_bonn', 'bundesrepublik_deutschland', 'deutschland_bundesrepublik']"
"Dieser Artikel behandelt fossiles Harz. Zu weiteren Bedeutungen siehe Bernstein (Begriffsklärung) . Infobox Mineral Mineralname Bernstein Bild Bernstein auf Granit.jpg Bildbeschreibung Baltischer Bernstein – Rohsteine im Fundzustand IMA-Nummer IMA-Symbol Andere_Namen * Succinit Electrum, umgangssprachlich auch als „Baltischer Bernstein“ bezeichnet ēlektron Ähnliche_Minerale keine Chemismus Angenäherte Summenformel: C sub 10 sub H sub 16 sub O+(H sub 2 sub S) Mineralklasse Organische Verbindungen – diverse organische Mineralien Kurzform_Strunz_8 IX/C.01 Kurzform_Lapis Kurzform_Strunz_9 10.C Kurzform_Dana 50.00.00.00 Kristallsystem amorph Kristallklasse Raumgruppe Raumgruppen-Nr Gitterparameter_a Gitterparameter_b Gitterparameter_c Gitterparameter_alpha Gitterparameter_beta Gitterparameter_gamma Formeleinheiten Ref_Gitterparameter häufige_Kristallflächen Zwillingsbildung Mohshärte 2 bis 2,5 Dichte 1,05 bis 1,096 Spaltbarkeit keine Bruch muschelig, spröde Farbe Honigfarben honiggelb , gel","['Sub', 'Tier', 'Gattung']","['Bernstein', 'Http', 'Museum']","['mineralisierung', 'mineralogisch', 'mineralname']"
"Begriffsklärungshinweis Datei:Red White Blood cells.jpg mini|Von links nach rechts: Erythrozyt , Thrombozyt , Leukozyt Datei:Blut 1000fach Dunkelfeld.jpg mini| Dunkelfeldmikroskopie Dunkelfeldaufnahme menschlichen Blutes, 1000-fache Vergrößerung Datei:Blutkreislauf.png mini|Blutkreislauf Blut ( laS Sanguis ; grcS αἷμα haima ) ist eine Körperflüssigkeit , die mit Unterstützung des Blutkreislauf Herz-Kreislauf-Systems die Funktionalität der verschiedenen Körpergewebe über vielfältige Transport- und Verknüpfungsfunktionen sicherstellt. Blut wird als „flüssiges Gewebe (Biologie) Gewebe “, gelegentlich auch als „flüssiges Organ (Biologie) Organ “ bezeichnet. Blut besteht aus speziellen Zellen sowie dem proteinreichen Blutplasma , das im Herz-Kreislauf-System als Träger dieser Zellen fungiert. Blut wird vornehmlich durch mechanische Tätigkeit des Herz ens in einem Kreislaufsystem, dem Blutkreislauf , durch die Blutgefäß e des Körpers gepumpt. Unterstützend wirken Venenklappe n in Kombination","['Sub', 'Tier', 'Gattung']","['Blut', 'Blutkörperchen', 'Medizin']","['blutdiagnostik', 'erythroblastose', 'redbloodcells']"
"Dieser Artikel behandelt das Mammakarzinom des Menschen. Zur gleichnamigen Erkrankung bei Tieren siehe Mammatumor . Datei:Breast cancer cell (2).jpg mini|Brustkrebszelle unter einem Rasterelektronenmikroskop Raster elektronen mikroskop Infobox ICD 01-CODE C50 01-BEZEICHNUNG Mammakarzinom 02-CODE C50.0 02-BEZEICHNUNG Brustwarze und Warzenhof 03-CODE C50.1 03-BEZEICHNUNG Zentraler Drüsenkörper der Brustdrüse 04-CODE C50.2 04-BEZEICHNUNG Oberer innerer Quadrant der Brustdrüse 05-CODE C50.3 05-BEZEICHNUNG Unterer innerer Quadrant der Brustdrüse 06-CODE C50.4 06-BEZEICHNUNG Oberer äußerer Quadrant der Brustdrüse 07-CODE C50.5 07-BEZEICHNUNG Unterer äußerer Quadrant der Brustdrüse 08-CODE C50.6 08-BEZEICHNUNG Recessus axillaris der Brustdrüse 09-CODE C50.8 09-BEZEICHNUNG Brustdrüse, mehrere Teilbereiche überlappend 10-CODE C50.9 10-BEZEICHNUNG Brustdrüse, nicht näher bezeichnet Datei:Pink ribbon.svg mini|hochkant| Rosa Schleife – Symbol der Solidarität mit von Brustkrebs betroffenen Frauen B","['Sub', 'Tier', 'Gattung']","['Name', 'cancer', 'Nummer']","['breast_cancer', 'cri_2_4_2x_what_are_the_risk_factors_for_breast_cancer_5', 'who_classification_of_tumours_of_the_breast_fourth_edition']"
"Das Bundestagswahlrecht regelt die Wahl der Mitglied des Deutschen Bundestages Mitglieder des Deutscher Bundestag Deutschen Bundestages . Nach den in Art. 38 gg juris Abs. 1 Satz 1 Grundgesetz für die Bundesrepublik Deutschland Grundgesetz (GG) festgelegten Wahlrechtsgrundsätze n ist die Wahl allgemein, unmittelbar, frei, gleich und geheim . Das konkrete Wahlsystem wird hingegen durch ein einfaches Gesetz , das Bundeswahlgesetz , bestimmt. Viele Bestimmungen des Bundeswahlgesetzes werden ihrerseits in der Bundeswahlordnung konkretisiert. Typisch für das deutsche Bundestagswahlrecht ist die Verbindung von Wahlkreiswahl und Listenwahl. Wähler haben zwei Stimmen, eine für einen Direktkandidaten im Wahlkreis und eine für die Landesliste einer Partei. Die Zweitstimme ist entscheidend für den Anteil einer Partei an den Bundestagsmandaten. Gewonnene Wahlkreismandate werden damit verrechnet. Datei:Pers.Ver.Wahl.v4.svg 300px|mini|Personalisierte Verhältniswahl der Bundesrepublik Deutschland Rec","['Wilhelm', 'Dresden', 'Friedrich']","['Partei', 'Bundestag', 'Wahl']","['bundesgesetz', 'bundeswahlgesetz', 'grundgesetz_bundesrepublik']"
